name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace
"R$anim.<init>()","android.support.v7.appcompat.R$anim.<init>().f68e2a40968ed1ae2105235a559e53e3",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,10,1368,N,"void R$anim.<init>()(class android.support.v7.appcompat.R$anim *this)",0,0.00,0.00,0,0,10
"R$attr.<init>()","android.support.v7.appcompat.R$attr.<init>().4b16d7fc86ee53922e807a698bc8357d",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,22,1368,N,"void R$attr.<init>()(class android.support.v7.appcompat.R$attr *this)",0,0.00,0.00,0,0,22
"R$bool.<init>()","android.support.v7.appcompat.R$bool.<init>().513ca66bdb7dafd8acb4586d6a3df2bb",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,249,1368,N,"void R$bool.<init>()(class android.support.v7.appcompat.R$bool *this)",0,0.00,0.00,0,0,249
"R$color.<init>()","android.support.v7.appcompat.R$color.<init>().546aaf3a2fb56fdd919aef26f66f748b",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,256,1368,N,"void R$color.<init>()(class android.support.v7.appcompat.R$color *this)",0,0.00,0.00,0,0,256
"R$dimen.<init>()","android.support.v7.appcompat.R$dimen.<init>().fb798a637dc4343e2941e978b09f58c1",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,336,1368,N,"void R$dimen.<init>()(class android.support.v7.appcompat.R$dimen *this)",0,0.00,0.00,0,0,336
"R$drawable.<init>()","android.support.v7.appcompat.R$drawable.<init>().cf808912f82bfd1a8d5a10da59e92e52",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,417,1368,N,"void R$drawable.<init>()(class android.support.v7.appcompat.R$drawable *this)",0,0.00,0.00,0,0,417
"R$id.<init>()","android.support.v7.appcompat.R$id.<init>().1f75df18e6e355ba7ad762e5c8742eb3",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,496,1368,N,"void R$id.<init>()(class android.support.v7.appcompat.R$id *this)",0,0.00,0.00,0,0,496
"R$integer.<init>()","android.support.v7.appcompat.R$integer.<init>().12f2d1314790885f504ff6caa5d2f05e",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,595,1368,N,"void R$integer.<init>()(class android.support.v7.appcompat.R$integer *this)",0,0.00,0.00,0,0,595
"R$layout.<init>()","android.support.v7.appcompat.R$layout.<init>().04d947bc25187c80d4b4694ea86e6ae2",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,601,1368,N,"void R$layout.<init>()(class android.support.v7.appcompat.R$layout *this)",0,0.00,0.00,0,0,601
"R$string.<init>()","android.support.v7.appcompat.R$string.<init>().45e9ae6917abeeb3a98960022c989b21",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,641,1368,N,"void R$string.<init>()(class android.support.v7.appcompat.R$string *this)",0,0.00,0.00,0,0,641
"R$style.<init>()","android.support.v7.appcompat.R$style.<init>().d288fd1d72bd6fba82bbe3d24c20eea4",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,675,1368,N,"void R$style.<init>()(class android.support.v7.appcompat.R$style *this)",0,0.00,0.00,0,0,675
"void R$styleable.<clinit>()","android.support.v7.appcompat.R$styleable.<clinit>():void.41f8dbce7d1b812986c729ce500c3de9",0,0,SYMOPS TIMEOUT (334),334,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,1009,1368,N,"class java.lang.Object *void R$styleable.<clinit>()(class java.lang.String *field)",0,0.00,0.00,0,0,
"R$styleable.<init>()","android.support.v7.appcompat.R$styleable.<init>().1d4a74fbc35bb44b30f5b89dcd9a26bc",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,1008,1368,N,"void R$styleable.<init>()(class android.support.v7.appcompat.R$styleable *this)",0,0.00,0.00,0,0,1008
"R.<init>()","android.support.v7.appcompat.R.<init>().3e70e35af4aab60a2c33c54123f73eff",1,0,NONE,18,0,app/build/generated/source/r/debug/android/support/v7/appcompat/R.java,9,1368,N,"void R.<init>()(class android.support.v7.appcompat.R *this)",0,0.00,0.00,0,0,9
"JavaChineseStringDetector$1.<init>(JavaChineseStringDetector,JavaContext)","com.example.JavaChineseStringDetector$1.<init>(com.example.JavaChineseStringDetector,com.android.too.cf58580dfe6b72ed61037430781cf3bd",1,0,NONE,36,0,mylints/src/main/java/com/example/JavaChineseStringDetector.java,90,862,N,"void JavaChineseStringDetector$1.<init>(JavaChineseStringDetector,JavaContext)(class com.example.JavaChineseStringDetector$1 *this, class com.example.JavaChineseStringDetector *this$0, class com.android.tools.lint.detector.api.JavaContext *$bcvar2)",0,0.00,0.00,0,0,90 104
"void JavaChineseStringDetector$1.afterVisitAlternateConstructorInvocation(AlternateConstructorInvocation)","com.example.JavaChineseStringDetector$1.afterVisitAlternateConstructorInvocation(lombok.ast.Alternat.49e90ce79b1504fb2650138f4ddea513",1,0,NONE,12,0,mylints/src/main/java/com/example/JavaChineseStringDetector.java,790,862,N,"void void JavaChineseStringDetector$1.afterVisitAlternateConstructorInvocation(AlternateConstructorInvocation)(class com.example.JavaChineseStringDetector$1 *this, class lombok.ast.AlternateConstructorInvocation *alternateConstructorInvocation)",0,0.00,0.00,0,0,790 792
"void JavaChineseStringDetector$1.afterVisitAnnotation(Annotation)","com.example.JavaChineseStringDetector$1.afterVisitAnnotation(lombok.ast.Annotation):void.01d42e5caea5e2c0e67c4706f55656c7",1,0,NONE,12,0,mylints/src/main/java/com/example/JavaChineseStringDetector.java,750,862,N,"void void JavaChineseStringDetector$1.afterVisitAnnotation(Annotation)(class com.example.JavaChineseStringDetector$1 *this, class lombok.ast.Annotation *annotation)",0,0.00,0.00,0,0,750 752
"void JavaChineseStringDetector$1.afterVisitAnnotationDeclaration(AnnotationDeclaration)","com.example.JavaChineseStringDetector$1.afterVisitAnnotationDeclaration(lombok.ast.AnnotationDeclara.3d61ffd2ccb1d28cde967a56b93b77be",1,0,NONE,12,0,mylints/src/main/java/com/example/JavaChineseStringDetector.java,825,862,N,"void void JavaChineseStringDetector$1.afterVisitAnnotationDeclaration(AnnotationDeclaration)(class com.example.JavaChineseStringDetector$1 *this, class lombok.ast.AnnotationDeclaration *annotationDeclaration)",0,0.00,0.00,0,0,825 827
"void JavaChineseStringDetector$1.afterVisitAnnotationElement(AnnotationElement)","com.example.JavaChineseStringDetector$1.afterVisitAnnotationElement(lombok.ast.AnnotationElement):vo.322dc871f87f2002f0735c96943ae22b",1,0,NONE,12,0,mylints/src/main/java/com/example/JavaChineseStringDetector.java,755,862,N,"void void JavaChineseStringDetector$1.afterVisitAnnotationElement(AnnotationElement)(class com.example.JavaChineseStringDetector$1 *this, class lombok.ast.AnnotationElement *annotationElement)",0,0.00,0.00,0,0,755 757
"void JavaChineseStringDetector$1.afterVisitAnnotationMethodDeclaration(AnnotationMethodDeclaration)","com.example.JavaChineseStringDetector$1.afterVisitAnnotationMethodDeclaration(lombok.ast.AnnotationM.21b2ec18ed872d609292a957dcecdc95",1,0,NONE,12,0,mylints/src/main/java/com/example/JavaChineseStringDetector.java,830,862,N,"void void JavaChineseStringDetector$1.afterVisitAnnotationMethodDeclaration(AnnotationMethodDeclaration)(class com.example.JavaChineseStringDetector$1 *this, class lombok.ast.AnnotationMethodDeclaration *annotationMethodDeclaration)",0,0.00,0.00,0,0,830 832
"void JavaChineseStringDetector$1.afterVisitAnnotationValueArray(AnnotationValueArray)","com.example.JavaChineseStringDetector$1.afterVisitAnnotationValueArray(lombok.ast.AnnotationValueArr.fa0c628d1682b12eb90dc6815e649151",1,0,NONE,12,0,mylints/src/main/java/com/example/JavaChineseStringDetector.java,595,862,N,"void void JavaChineseStringDetector$1.afterVisitAnnotationValueArray(AnnotationValueArray)(class com.example.JavaChineseStringDetector$1 *this, class lombok.ast.AnnotationValueArray *annotationValueArray)",0,0.00,0.00,0,0,595 597
"void JavaChineseStringDetector$1.afterVisitArrayAccess(ArrayAccess)","com.example.JavaChineseStringDetector$1.afterVisitArrayAccess(lombok.ast.ArrayAccess):void.54c0ad5b121006eae3cafba5aa6577dc",1,0,NONE,12,0,mylints/src/main/java/com/example/JavaChineseStringDetector.java,580,862,N,"void void JavaChineseStringDetector$1.afterVisitArrayAccess(ArrayAccess)(class com.example.JavaChineseStringDetector$1 *this, class lombok.ast.ArrayAccess *arrayAccess)",0,0.00,0.00,0,0,580 582
"void JavaChineseStringDetector$1.afterVisitArrayCreation(ArrayCreation)","com.example.JavaChineseStringDetector$1.afterVisitArrayCreation(lombok.ast.ArrayCreation):void.003777db037c021d506bdb883d6a7a26",1,0,NONE,12,0,mylints/src/main/java/com/example/JavaChineseStringDetector.java,585,862,N,"void void JavaChineseStringDetector$1.afterVisitArrayCreation(ArrayCreation)(class com.example.JavaChineseStringDetector$1 *this, class lombok.ast.ArrayCreation *arrayCreation)",0,0.00,0.00,0,0,585 587
"void JavaChineseStringDetector$1.afterVisitArrayDimension(ArrayDimension)","com.example.JavaChineseStringDetector$1.afterVisitArrayDimension(lombok.ast.ArrayDimension):void.279e7a38eda870c0ede7a5fd14a58709",1,0,NONE,12,0,mylints/src/main/java/com/example/JavaChineseStringDetector.java,600,862,N,"void void JavaChineseStringDetector$1.afterVisitArrayDimension(ArrayDimension)(class com.example.JavaChineseStringDetector$1 *this, class lombok.ast.ArrayDimension *arrayDimension)",0,0.00,0.00,0,0,600 602
"void JavaChineseStringDetector$1.afterVisitArrayInitializer(ArrayInitializer)","com.example.JavaChineseStringDetector$1.afterVisitArrayInitializer(lombok.ast.ArrayInitializer):void.3cd95d9062d4392cf9a89ba02c181e98",1,0,NONE,12,0,mylints/src/main/java/com/example/JavaChineseStringDetector.java,590,862,N,"void void JavaChineseStringDetector$1.afterVisitArrayInitializer(ArrayInitializer)(class com.example.JavaChineseStringDetector$1 *this, class lombok.ast.ArrayInitializer *arrayInitializer)",0,0.00,0.00,0,0,590 592
